"cond","SID","survey_name","item","value"
"self","s001","comment","1_comment","It means you don't have to try very hard to count calories as long as you cut out universally unhealthy things like sugar."
"self","s002","comment","1_comment","not so good i feel about this one"
"other","s003","comment","1_comment","Maybe it could do more than just make people run faster. Maybe do other things faster."
"other","s004","comment","1_comment","Maybe dancing won't just keep the heart young, but your brain too."
"other","s005","comment","1_comment","CBD is it a waste of money? Or can it help us? Many unknowns. Might be fake and a waste."
"other","s008","comment","1_comment","This is about the attempt to remove the endangered species act"
"self","s009","comment","1_comment","Healthy and nutritional value of banana over carbonated drinks"
"other","s010","comment","1_comment","CBD can help people with their pain"
"other","s012","comment","1_comment","Kids skipped school to protest demand on climate issues."
"self","s014","comment","1_comment","I'm interested in alternative energy."
"other","s015","comment","1_comment","This is a good way to be more environmentally friendly at the same time save some money."
"other","s017","comment","1_comment","Statin users should be aware of its drawbacks."
"other","s018","comment","1_comment","Climate change may be disastrous in the future. Some regions may face several crises at one time."
"self","s019","comment","1_comment","As fossil fuels are harmful to the environment, it is desirable to use solar energy as much as possible. This will benefit the earth. It is beneficial to every human being including me so it matters if the world is adding more solar power."
"self","s020","comment","1_comment","It matters to me personally because I now have abdominal obesity, which may develop into something else in the future."
"self","s021","comment","1_comment","The article is about how ineffective antioxidants are with regards to post-exercise muscle aches."
"other","s024","comment","1_comment","A lot of people I know care about the environment and sustainability."
"other","s025","comment","1_comment","This article describes how people's immune systems come together to fight off colds and flu."
"other","s028","comment","1_comment","This is about climate"
"self","s030","comment","1_comment","Climate changes is one of the major thing in US and it has causes 1 trillion dollar  in leading companies in the USA and it will become visible in the next 5 years ."
"other","s031","comment","1_comment","Recycle is important."
"self","s032","comment","1_comment","This article expresses a lie and an attempt to undermine President Trump's prestige."
"self","s036","comment","1_comment","Both solar power and fossil fuels are big right now."
"other","s037","comment","1_comment","this news have some information about the internet usage and related stuff."
"other","s038","comment","1_comment","It is about a teenage girl who became popular for being outspoken over climate change."
"self","s040","comment","1_comment","this is known because of my home ladies"
"other","s041","comment","1_comment","Because it contains a guide to help individuals reduce their carbon footprint. I believe some people that I know want to take part to promote a healthier environment to save our earth from global warming, however, they don't know what to do or where to start."
"other","s042","comment","1_comment","Why the Wilder Storms? It's a 'Loaded Dice' Problem
Global warming is bringing an era of wilder, more dangerous rains. 
The good news is that we're getting better at evacuating flood zones. 
The bad news is everything else."
"self","s043","comment","1_comment","The California wild fires.  If only the democrats would stop hugging trees and actually do proper forest management, this would not happen."
"other","s045","comment","1_comment","A small study looked into people with a metabolic disorder may benefit from supplements of a common gut bacterium"
"self","s046","comment","1_comment","it describes that nuclear power which affect you personal and cause environment more bad"
"self","s048","comment","1_comment","Explaining why the word keeps using coal despite certain disadvantages."
"other","s049","comment","1_comment","Drinking less sugar drinks improves health."
"self","s051","comment","1_comment","Probiotics could be useful for obese people with metabolic disorders."
"self","s052","comment","1_comment","Since I am overweight this means a lot to me."
"other","s053","comment","1_comment","It gives a sense of perspective on how far we have to go to in order to limit carbon emissions in our electrical grid."
"self","s054","comment","1_comment","I am belief that the highest calling of leadership is to respect the potential in others."
"other","s055","comment","1_comment","I know people who have suffered from eating disorder(s). This article would be relateable to them."
"self","s056","comment","1_comment","Lawsuits about climate change has moved inland."
"self","s057","comment","1_comment","Men have been trying to control the climate and failed since the history of our world. We all need to pitch in and save our planet."
"self","s058","comment","1_comment","A Dr. with cancer started a company to research the cancer he has."
"other","s062","comment","1_comment","Cancers that are associated with excessive weights have the highest rates in certain states. They are more prevalent in the South, Midwest, Alaska and Washington D.C. while they were less prevalent in Mountain States, New England and Hawaii."
"self","s063","comment","1_comment","It doesn't, except that it pisses me off to see people act so stupidly."
"self","s064","comment","1_comment","the US blocking climate change declaration for the Arctic"
"other","s065","comment","1_comment","This matters to people I know because a lot of them are eco-friendly, and this would help so much with buying a hybrid or electric car."
"other","s066","comment","1_comment","The court system dismissed Exxon's case about climate"
"self","s067","comment","1_comment","I have family members with some heart issues, so it is scary to read about all the different outcomes that are associated with heart disease."
"other","s068","comment","1_comment","It's about harming endangered animals for money."
"self","s069","comment","1_comment","With the pandemic raging it is so important to me to stay healthy for myself and my kids."
"self","s070","comment","1_comment","Everyone should get tested for Sleep Apnea! It is more than snoring."
"other","s072","comment","1_comment","Is climate change causing more floods and what makes a flood ""catastrophic""?"
"other","s073","comment","1_comment","This matters because climate change will affect people that I know."
"other","s074","comment","1_comment","We can all make a difference in reducing our city's air pollution"
"other","s075","comment","1_comment","eating disorder is sometimes unhappy"
"self","s076","comment","1_comment","This article matters to me because it shows that as a nation we are showing compassion for our environment and the creatures that live in it"
"other","s078","comment","1_comment","It matters to people I know because it has to do with the future of our well being."
"other","s079","comment","1_comment","no one likes air pollution"
"self","s080","comment","1_comment","Babies who eat solid food sooner are able to sleep longer at night."
"other","s081","comment","1_comment","It would help the environment"
"self","s082","comment","1_comment","This article is about the perfect diet to prevent kidney stones."
"other","s083","comment","1_comment","Scientists don't know much about CBD and its effects."
"self","s084","comment","1_comment","Moving is good for the brain."
"other","s085","comment","1_comment","This article is about the affects of eating deli meat on peoples' health."
"self","s086","comment","1_comment","A study found that dietary supplements can be dangerous."
"self","s089","comment","1_comment","Diet supplements can be very dangerous for your health."
"other","s090","comment","1_comment","This doctor is taking a personal cancer experience and trying to do something about it."
"other","s092","comment","1_comment","Global warming is really coming."
"self","s093","comment","1_comment","I am not a liberal so I dont care about climate change I worry about living till I die."
"self","s095","comment","1_comment","Overview of a study where simple and short weight training can help you build strength"
"other","s097","comment","1_comment","We should all be thinking about climate change and who we elect might just save our lives."
"other","s099","comment","1_comment","so now neither red nor white meat is good for you."
"other","s100","comment","1_comment","This article matters to people I know because it has information on how to stay safe when water rises (flooding)."
"self","s101","comment","1_comment","The United States blocked a positive environmental legislation."
"other","s103","comment","1_comment","The article is about whether your recyclables get recycled or not."
"self","s104","comment","1_comment","This article is about the correlation between having difficulties hearing and getting into accidents."
"self","s106","comment","1_comment","This article matters because I have a carbon footprint that impacts the world around me."
"other","s108","comment","1_comment","This effects everyone that has to deal with severe weather."
"other","s110","comment","1_comment","HEALTH IS WEALTH WE NEED TO BE SAFE..."
"self","s111","comment","1_comment","The article is about why we should ditch single use plastic straws for the environment."
"self","s112","comment","1_comment","Climate change affects all of us. I want our wildlife to have a safe environment for years to come."
"self","s113","comment","1_comment","Its about a new substance that doesn't have a lot of background information from scientists and it is unknown."
"other","s114","comment","1_comment","There are more and more ad campaigns for raising awareness for climate change."
"other","s115","comment","1_comment","We had flooding in my state 2 years ago. Nobody was ready for it, only half the people in my town even had sump pumps. In the Midwest particularly, people are not ready for the coming effects of climate change such as flooding."
"other","s116","comment","1_comment","Dogs and humans do will sleeping together. Makes sense as my dog is my bestfriend. It matters to others to have that assurance"
"other","s117","comment","1_comment","banana contains high vitamins"
"self","s118","comment","1_comment","This is important step in protecting our planet."
"self","s119","comment","1_comment","A report from ""13 federal agencies"" warn global warming could affect the GDP by 2100."
"other","s120","comment","1_comment","Races may get interesting to those of us who aren't athletic"
"self","s121","comment","1_comment","It may make me more physically able."
"other","s122","comment","1_comment","Because we have to live on this planet."
"other","s123","comment","1_comment","This article is about a major oil company's abuse of the legal system to block research on climate change."
"self","s124","comment","1_comment","This article matters to me because climate change is something we must all pay attention too. The younger generation is really great with this."
"other","s125","comment","1_comment","Why countries are still burning coal."
"other","s126","comment","1_comment","to avoid waste of food and the precaution of not to waste the food"
"self","s127","comment","1_comment","if weather is not good , so they judgement are waited"
"self","s130","comment","1_comment","This matters to me personally because I don't want kidney stones! They're painful!"
"self","s132","comment","1_comment","America is accused of needing to do more for climate"
"other","s133","comment","1_comment","I don't understand people who don't ""believe"" in climate change."
"other","s134","comment","1_comment","Most of my friends are female so knowing which foods can increase risk, especially if they have a family history, is very important since cancer is awful."
"other","s136","comment","1_comment","The article is about how the slow use of government aid spending has resulted in billions of unspent recovery fund dollars while disasters are still multiplying."
"other","s137","comment","1_comment","more than two dozen Law makers, lobbyist and administration have joined together to propose the removal protection of species and weaken the law of protection."
"other","s139","comment","1_comment","Solar power led the way in 2017, but it's still just a small percentage of the world's electricity sources."
"other","s140","comment","1_comment","Romantic partner involvement in treating eating disorders"
"self","s141","comment","1_comment","PAssing an enviormental bill"
"self","s143","comment","1_comment","E.U leader fails.net carbon emission bloc.2050 failed."
"self","s145","comment","1_comment","Climate change will increase the number of climate-related disasters."
"self","s146","comment","1_comment","These stories always have me worrying about how humans do not treat precious life the way they should."
"self","s147","comment","1_comment","It matters to me because we could potentially allocate that saved money to other issues and benefit us."
